t,x,y,z
152.145,-9.772789068231189,-2.9962285373199746,35.28758679611974
152.15,-9.43344028297005,-2.640517841747451,34.95085559129652
152.155,-9.0938156167289,-2.314925813720695,34.5975242755109
152.16,-8.755427214901447,-2.0186931214670865,34.230842671894955
152.165,-8.419744262148958,-1.750669280367708,33.854100170009374
152.17,-8.088192982400098,-1.509312652957122,33.470625725843306
152.175,-7.762023306196495,-1.2932865933074906,33.082482079096515
152.18,-7.442029938034774,-1.1017976118968473,32.6897503870393
152.185,-7.128936283780399,-0.9333300052279552,32.29382675414165
152.19,-6.823398624714304,-0.7863924133597446,31.896018165270128
152.195,-6.526004172481249,-0.6595326371853846,31.497511249805385
152.2,-6.237271069089812,-0.5513376384322812,31.09937228164215
152.205,-5.957648386910818,-0.4604335396616083,30.70254717918699
152.21,-5.687516128683675,-0.3854856242702761,30.307861505367335
152.215,-5.427185227506796,-0.32519833648784013,29.91602046761792
152.22,-5.176897546844038,-0.27831528137865896,29.527608917889822
152.225,-4.936825880523072,-0.24361922484132897,29.143091352648213
152.23,-4.707073952735388,-0.21993209360868457,28.762811912872348
152.235,-4.487676418035092,-0.20611497524774533,28.38699438405346
152.24,-4.278598861343831,-0.20106811815997558,28.015742196203284
152.245,-4.079737797943234,-0.2037309315808152,27.649038423841127
152.25,-3.890936663034518,-0.21322887307879476,27.286976102201457
152.255,-3.711997506415019,-0.22895033705113702,26.929791911471735
152.26,-3.5426900320702233,-0.2502316513936575,26.577477200556782
152.265,-3.3827784539974872,-0.2764543261977968,26.230015848202957
152.27,-3.2320216348326287,-0.30704603010783016,25.887386035183724
152.275,-3.090173085853309,-0.34148059032014444,25.549560244307425
152.28,-2.9569809669738873,-0.3792779925842883,25.216505260405576
152.285,-2.832188086748898,-0.4200043812022996,24.888182170340688
152.29,-2.7155319023721822,-0.46327205902885776,24.564546363004343
152.295,-2.6067445196768633,-0.5087394874712985,24.245547529317133
152.3,-2.5055526931348187,-0.5561112864898733,23.93112966222694
152.305,-2.411677825858907,-0.6051382345966794,23.62123105671599
152.31,-2.3248359695995555,-0.6556172688572536,23.315784309790235
152.315,-2.244737824747084,-0.707391484889518,23.01471632048647
152.32,-2.1710887403310837,-0.7603501368640599,22.71794828987044
152.325,-2.1035289546589917,-0.8144466629573651,22.425423360428393
152.33,-2.041704406490578,-0.869646220769204,22.137121057441366
152.335,-1.985456810865906,-0.9258564306522395,21.852971890578853
152.34,-1.9346320201435605,-0.9830033329072378,21.572909963034743
152.345,-1.889074129436852,-1.041033535965376,21.296875040149427
152.35,-1.848625476613451,-1.0999142163885518,21.024812549408185
152.355,-1.813126642295385,-1.1596331188693851,20.756673580441152
152.36,-1.7824164498588813,-1.2201985562315654,20.492414885021848
152.365,-1.756331965435036,-1.2816394094284689,20.23199887707314
152.37,-1.7347084979087632,-1.3440051275452192,19.975393632658278
152.375,-1.7173795989195304,-1.407365727797327,19.722572889986864
152.38,-1.7041770628611592,-1.4718117955310186,19.473516049413387
152.385,-1.6949309268818311,-1.5374544842232438,19.228208173437203
152.39,-1.6894694708840912,-1.6044255154816816,18.9866399867025
152.395,-1.6876192175248297,-1.672877179045106,18.748807875997084
152.4,-1.689204932215336,-1.7429823327818699,18.514713890257553
152.405,-1.6940496231212014,-1.8149344026921868,18.2843657405614
152.41,-1.7019745411624037,-1.8889473829066166,18.05777680013233
152.415,-1.7129460297225674,-1.96514358350413,17.83494881818673
152.42,-1.7271156887184758,-2.0435138963204498,17.615862000663622
152.425,-1.7444570963969632,-2.1241939439974864,17.4005210880931
152.43,-1.7649460493906575,-2.2073310187793656,17.18893880949774
152.435,-1.7885641026279433,-2.293081419650661,16.98113550081773
152.44,-1.8152985693325878,-2.381610452334581,16.777139104915793
152.445,-1.845142521023825,-2.4730924292934082,16.57698517157597
152.45,-1.878094787516363,-2.567710669728513,16.38071685750357
152.455,-1.9141599569205945,-2.6656574995809175,16.18838492632414
152.46,-1.9533483756417556,-2.767134251529038,16.000047748587793
152.465,-1.9956761483811642,-2.8723512649920426,15.81577130176263
152.47,-2.041165138135399,-2.9815278861276098,15.635629170239211
152.475,-2.089842966196532,-3.0948924678325422,15.459702545329314
152.48,-2.1417440547268365,-3.2126792060468365,15.288085132759125
152.485,-2.196931178291946,-3.3350962876931285,15.12091399994527
152.49,-2.2554899506735784,-3.4623731538504923,14.958283094119007
152.495,-2.3175113880632945,-3.5947524753890066,14.800293346307798
152.5,-2.383092153893932,-3.73248237129662,14.647068894230703
152.505,-2.4523345588399112,-3.8758164086798295,14.498757082297411
152.51,-2.52534656081724,-4.025013602763687,14.355528461608246
152.515,-2.602241764983507,-4.1803384168917965,14.217576789954162
152.52,-2.6831394237383535,-4.342060762527248,14.085119031816006
152.525,-2.7681644367216203,-4.510455999248912,13.958395358367506
152.53,-2.857447350816088,-4.685804934756938,13.837669147470741
152.535,-2.9511243601456814,-4.868393824869136,13.723226983679195
152.54,-3.0493373060759077,-5.058514373521869,13.61537865823698
152.545,-3.1522336772138537,-5.256463732770043,13.514457169078842
152.55,-3.259966609408827,-5.462544502788333,13.420818720829642
152.555,-3.372694885749845,-5.677064731866382,13.334842724806464
152.56,-3.4905829365693517,-5.900337916415917,13.25693179901539
152.565,-3.6138003556901013,-6.1326813705791485,13.187511753066257
152.57,-3.742427750487442,-6.374072888045921,13.127038287799564
152.575,-3.876651333621579,-6.624738308768459,13.076038618187676
152.58,-4.016751810951321,-6.885180138030637,13.035103135827073
152.585,-4.162994219027995,-7.155825434190804,13.004876963062035
152.59,-4.315627925100226,-7.4370258086906675,12.986059952983238
152.595,-4.47488662711078,-7.7290574260494225,12.979406689428744
152.6,-4.640988353697351,-8.032121003865205,12.985726486983749
152.605,-4.814135464192554,-8.346341812815098,13.005883390980564
152.61,-4.994514648624975,-8.671769676657,13.040796177498878
152.615,-5.1822969277150435,-9.008378972222198,13.09143835336488
152.62,-5.377637652881132,-9.356068629426392,13.158838156152408
152.625,-5.580676506235574,-9.714662131262454,13.2440785541823
152.63,-5.791537500585607,-10.083907513802187,13.348297246522508
152.635,-6.010328979433361,-10.463477366196273,13.472686662988076
152.64,-6.237143616975991,-10.852968830674492,13.618493964141283
152.645,-6.472058418106834,-11.25190360254772,13.787021041292446
152.65,-6.715134718410108,-11.659727930198903,13.979624516496067
152.655,-6.966418184169032,-12.07581261509686,14.197715742556666
152.66,-7.225938812360416,-12.499453011787097,14.442760803024996
152.665,-7.493344474682583,-12.930011185770132,14.715445723680604
